,0,1,2,3,4
1301skj,0.5450152526376411,0.21264654706754454,0.04919778209316006,0.15381910027297951,0.03932131792867472
1100j0u,0.14564430617650245,0.1096215665881012,0.06653397920183655,0.6672322667714189,0.010967881262140943
0G00r5c,0.2361199180631227,0.3934416163396282,0.1458116099494885,0.18723583389754633,0.03739102175021422
1202v5m,0.3462272998019692,0.2496504348333019,0.05483551606222965,0.29567530196853686,0.053611447333962406
0C01365,0.26127222508435616,0.11658204705294858,0.3681993892289374,0.04981489908118521,0.20413143955257262
1302gp2,0.3390338152752765,0.3044143581348706,0.10973803018637239,0.17892432256088187,0.06788947384259862
0T00ted,0.11170908044397346,0.13236379880910654,0.08846435231183256,0.13873799324916947,0.528724775185918
0U01og8,0.066980590555272,0.08698600885735022,0.7460338540267113,0.04416378277424755,0.05583576378641884
12030n2,0.17650072075908307,0.27347419623609404,0.0574948723916027,0.08796671942743434,0.40456349118578583
0W00632,0.06694096020515236,0.2879030534047188,0.08552249366720982,0.30382345919030596,0.25581003353261306
1000mdu,0.12155085105456857,0.16916733680488055,0.14430302842004603,0.33498146385448124,0.2299973198660236
0602sqq,0.32211523467582837,0.08511440982867789,0.25420540793045365,0.2559147014729473,0.08265024609209265
13028ek,0.6147676785511809,0.10772706074678157,0.06561213881407206,0.17552184987924618,0.036371272008719424
130204c,0.2928048190455571,0.07379756498346136,0.13822150905019132,0.05579169888302453,0.4393844080377656
1301li6,0.5661766983837331,0.12781858953740496,0.1142191192546301,0.09550044931390447,0.09628514351032721
0J00lhb,0.6129482568326624,0.12118869585358708,0.11344397167964945,0.10551473224809599,0.04690434338600504
0600umh,0.055873119648320195,0.12201125162284916,0.07099751326451209,0.03573997808302645,0.7153781373812922
0K024sv,0.29917114635607145,0.07689704542492196,0.4273549516020612,0.07281019789550484,0.12376665872144055
0701790,0.16004404972786054,0.10736196994685085,0.4143011539280084,0.22683507316094165,0.09145775323633853
1301cla,0.6049470777596009,0.16986914723773208,0.07379258363542875,0.10240702437302648,0.04898416699421178
0A018t9,0.1912632009099074,0.2161840959120972,0.2345345907574125,0.27156928941831354,0.08644882300226936
1301sj1,0.11719363177947796,0.515627638971176,0.14528291687264433,0.16567423123304498,0.05622158114365669
0G016hn,0.11340968118590164,0.6345978424284567,0.05579259253549111,0.16845463437871638,0.0277452494714341
0F02qrc,0.5249321726902549,0.12237283693852175,0.20821579939620194,0.12976807037215177,0.014711120602869575
1302oal,0.4347320234730442,0.27033980645094,0.17049107035019345,0.08351421635077383,0.04092288337504852
13019db,0.182101651127011,0.20513890452264397,0.2893989024690712,0.24644346949849144,0.07691707238278246
0W0291g,0.2989439121358042,0.06032883220687641,0.04026711235098779,0.04712730699386549,0.5533328363124661
1301j5u,0.4325171920168357,0.34725403499995255,0.07100087304185612,0.06557799981563409,0.08364990012572149
0G00v22,0.3991353043867978,0.2311295487149252,0.08888358524411485,0.18778319884733552,0.09306836280682662
0B02gv8,0.36121822249635305,0.06000482443786495,0.19748038988251848,0.2462187679353364,0.13507779524792723
1301qv8,0.11461178117380236,0.1653334191388049,0.5310041932548127,0.0941196860714756,0.09493092036110432
0A00e04,0.12967399283609726,0.6215482150624827,0.12013977712981003,0.07431648805068013,0.054321526920929813
1301mu0,0.21297334623650427,0.36081175249812836,0.056214775399677175,0.22599861927686982,0.1440015065888204
0601nug,0.043765967741267564,0.04822497077732775,0.8516731378133089,0.04588847110464122,0.01044745256345458
0H01tsg,0.09789217259553742,0.3123948522907488,0.14061984107614034,0.4365873897405044,0.01250574429706898
0K02hh8,0.22593637481332074,0.27338763622648055,0.22673318922737346,0.08115668756776404,0.1927861121650612
130254f,0.13040119987421936,0.3112950031961276,0.06766661312437226,0.44021050910961385,0.05042667469566691
1301hni,0.17197785947290667,0.2866958479830016,0.21742034731866747,0.2616452760363328,0.06226066918909148
1302ckn,0.3753336712248852,0.2564601139894102,0.058924343367979116,0.21214944944816752,0.09713242196955801
0F02ani,0.13776310773312403,0.6186221388956299,0.053438559968004985,0.14220716893563287,0.04796902446760824
0B01mh6,0.1975726943398724,0.16761534246733553,0.40110834687097396,0.060907679061957785,0.17279593725986037
13000jf,0.4360282885872208,0.23379551845259394,0.2438688786369197,0.049308651970671726,0.036998662352593754
130270h,0.6045839375500417,0.18143741145852788,0.06928154287867869,0.09298815600621263,0.05170895210653914
0H027kj,0.31251152726450926,0.47673881468888346,0.0633046278326483,0.09737290425584375,0.05007212595811526
