ID,0,1,2,3,4
1301skj,0.5377755438863503,0.17574572519021264,0.060029479325022506,0.19680702274716333,0.02964223596422737
1100j0u,0.2309667587558974,0.11411124225450542,0.06378368156153691,0.5814161455526055,0.00972217652430656
0G00r5c,0.1959829325998203,0.33513850276216295,0.21976417402883763,0.1841558605912562,0.06495854294778465
1202v5m,0.3160873832870035,0.3252318907880424,0.05354244085427065,0.23330807636859277,0.07183020458874934
0C01365,0.26602454415812515,0.1479773899737483,0.32270654972451385,0.07023227587297062,0.19305924039481842
1302gp2,0.3113593422910529,0.32352027789314625,0.12173217392230379,0.17138933847682142,0.07199888019131687
0T00ted,0.1645062683504217,0.11765265440350867,0.08384950505078678,0.11564816578239612,0.5183434096569937
0U01og8,0.06962880244096062,0.12210392638236117,0.724233633169697,0.04209328118649543,0.04194034564558496
12030n2,0.17634410311202225,0.1520329698707523,0.04579752247862364,0.11416378883816608,0.5116616032828013
0W00632,0.10521825567867066,0.30692959952715804,0.08239349764560891,0.24525582596333084,0.2602028175530735
1000mdu,0.1396552716053403,0.16763914837597746,0.1399185485334464,0.35096263521953625,0.20182440512102495
0602sqq,0.28762003980947914,0.1175549775339162,0.237989521455224,0.2917257176515241,0.06510973591301138
13028ek,0.6124672668155474,0.09507285463268003,0.04773086549527545,0.19967119591133975,0.04505781505744248
130204c,0.29670581921081374,0.07724778315850273,0.10933506608510002,0.08198268373051207,0.4347286571438192
1301li6,0.5271745028365253,0.15154870036357804,0.08807063494732632,0.10401763301951752,0.12918852324511726
0J00lhb,0.5132354676874067,0.17063013688639958,0.07352598109162319,0.18280449349652342,0.059803909817396694
0600umh,0.07412403558875673,0.12281010670969587,0.0746970494960923,0.03978749532033095,0.6885813167811569
0K024sv,0.20782042080008142,0.07231788470222932,0.4846697866041981,0.0518044357053738,0.1833874800112269
0701790,0.13270627576333743,0.13149287209071295,0.4971010869005383,0.18130349654426758,0.05739627574815115
1301cla,0.5734757429328559,0.13780099067272775,0.0864172746235543,0.07206607947714615,0.1302399115641798
0A018t9,0.14465374003553053,0.23235241234281445,0.18799617605166008,0.38036460034834546,0.05463305904072623
1301sj1,0.1460401018627353,0.4818411212927235,0.14485075243745235,0.1706096293614977,0.05665839601571881
0G016hn,0.1374481057550745,0.5537516611465216,0.08251657520633532,0.1986050325218544,0.02767862442919025
